"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte"
"MWHResult","380-63207-1","HI0000215","","09/23/2023","161430","1005","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","Arsenic"
"MWHResult","380-63207-1","HI0000215","","09/23/2023","161430","1010","200.8","LABMWH","STATE","A","MRL","2.0","UG/L","N","2.9","BARIUM"
"MWHResult","380-63207-1","HI0000215","","09/23/2023","161430","1015","200.8","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","CADMIUM"
"MWHResult","380-63207-1","HI0000215","","09/23/2023","161430","1020","200.8","LABMWH","STATE","A","MRL","0.90","UG/L","Y","","CHROMIUM"
"MWHResult","380-63207-1","HI0000215","","09/23/2023","161430","1022","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","N","1.0","COPPER"
"MWHResult","380-63207-1","HI0000215","","09/23/2023","161430","1030","200.8","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","LEAD"
"MWHResult","380-63207-1","HI0000215","","09/23/2023","161430","1045","200.8","LABMWH","STATE","A","MRL","2.0","UG/L","Y","","SELENIUM"
"MWHResult","380-63207-1","HI0000215","","09/23/2023","161430","1074","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","ANTIMONY"
"MWHResult","380-63207-1","HI0000215","","09/23/2023","161430","1075","200.8","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","BERYLLIUM"
"MWHResult","380-63207-1","HI0000215","","09/23/2023","161430","1085","200.8","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","THALLIUM"
"MWHResult","380-63207-1","HI0000215","09/23/2023","09/24/2023","004521","1035","245.1","LABMWH","STATE","A","MRL","0.10","UG/L","Y","","Mercury"
"MWHResult","380-63207-1","HI0000215","","09/16/2023","181900","1040","300.0","LABMWH","STATE","A","MRL","0.050","MG/L","N","0.095","Nitrate as N"
"MWHResult","380-63207-1","HI0000215","","09/18/2023","191200","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene"
